Year,Month,Day,Hour,Minute,Second,Dendrometer(uM),Pressure(hPa),Temp SHT41(C),Humidity(%),Moisture Level
2024,7,4,18,4,19,5922.84,984.127,22.57,58.7535,345
2024,7,4,18,9,20,5922.96,984.147,22.4738,58.9538,350
2024,7,4,18,14,20,5922.99,984.222,22.4204,58.8871,350
2024,7,4,18,19,21,5922.94,984.292,22.3991,58.6544,350
2024,7,4,18,24,22,5923.08,984.294,22.3831,58.8852,350
2024,7,4,18,29,22,5922.96,984.329,22.4151,58.4713,349
2024,7,4,18,34,23,5923.04,984.254,22.4044,58.7364,349
2024,7,4,18,39,23,5923.22,984.184,22.3831,58.5094,350
2024,7,4,18,44,24,5923.04,984.149,22.3724,58.5094,349
2024,7,4,18,49,25,5923.17,984.129,22.4471,58.1527,349
2024,7,4,18,54,25,5923.08,984.157,22.4632,57.8952,350
2024,7,4,18,59,26,5923.11,984.2,22.4899,57.6892,349
2024,7,4,19,4,27,5923.05,984.138,22.4578,57.6587,350
2024,7,4,19,9,27,5923.07,984.165,22.4792,57.5958,349
2024,7,4,19,14,28,5923.29,984.187,22.4738,57.5099,349
2024,7,4,19,19,28,5923.38,984.127,22.4685,57.3764,350
2024,7,4,19,24,29,5923.17,984.11,22.4365,57.4108,350
2024,7,4,19,29,30,5923.09,984.132,22.4044,57.365,350
2024,7,4,19,34,30,5923.22,984.138,22.4365,57.2734,350
2024,7,4,19,39,31,5923.33,984.139,22.351,57.201,350
2024,7,4,19,44,32,5923.34,984.175,22.3884,57.0369,349
2024,7,4,19,49,32,5923.35,984.191,22.3136,56.7603,350
2024,7,4,19,54,33,5923.15,984.209,22.2869,56.2778,349
2024,7,4,19,59,33,5923.18,984.279,22.2389,55.9764,350
2024,7,4,20,4,34,5923.3,984.285,22.2015,55.5358,349
2024,7,4,20,9,35,5923.25,984.297,22.1427,55.099,350
2024,7,4,20,14,35,5923.19,984.237,22.0947,54.893,349
2024,7,4,20,19,36,5922.92,984.294,22.0306,54.6718,350
2024,7,4,20,24,37,5923.16,984.286,21.9718,54.3857,349
2024,7,4,20,29,37,5923.2,984.283,21.8864,54.2617,349
2024,7,4,20,34,38,5923.16,984.295,21.7582,53.9966,349
2024,7,4,20,39,38,5923.14,984.274,21.6888,53.8993,350
2024,7,4,20,44,39,5923.21,984.284,21.6621,53.7124,350
2024,7,4,20,49,40,5923.14,984.319,21.5927,53.7658,349
2024,7,4,20,54,40,5923.14,984.29,21.6087,53.8535,349
2024,7,4,20,59,41,5923.19,984.332,21.63,53.9088,349
2024,7,4,21,4,42,5923.23,984.256,21.63,53.968,349
2024,7,4,21,9,42,5923.13,984.278,21.6621,53.5979,349
2024,7,4,21,14,43,5923.07,984.289,21.6194,53.3881,349
2024,7,4,21,19,43,5923.02,984.322,21.6194,53.3538,349
2024,7,4,21,24,44,5923.12,984.287,21.5873,53.4892,349
2024,7,4,21,29,45,5923.26,984.346,21.5553,53.9699,349
2024,7,4,21,34,45,5923.33,984.379,21.5766,54.2407,349
2024,7,4,21,39,46,5923.28,984.376,21.5873,54.6927,349
2024,7,4,21,44,46,5923.17,984.454,21.5766,55.038,350
2024,7,4,21,49,47,5923.19,984.507,21.598,55.3336,349
2024,7,4,21,54,48,5923.16,984.552,21.614,55.9135,349
2024,7,4,21,59,48,5923.16,984.609,21.6033,56.2969,349
2024,7,4,22,4,49,5923.29,984.683,21.614,56.7108,349
2024,7,4,22,9,50,5923.32,984.748,21.614,56.9091,349
2024,7,4,22,14,50,5923.42,984.862,21.63,57.3535,349
2024,7,4,22,19,51,5923.31,984.874,21.6567,57.8475,349
2024,7,4,22,24,51,5923.21,984.916,21.6781,57.9162,349
2024,7,4,22,29,52,5923.38,984.997,21.6461,58.2157,350
2024,7,4,22,34,53,5923.33,985.075,21.6514,58.5952,349
2024,7,4,22,39,54,5923.28,985.129,21.6461,58.744,350
2024,7,4,22,44,54,5923.36,985.205,21.6247,58.7784,350
2024,7,4,22,49,55,5923.3,985.281,21.6514,58.8852,349
2024,7,4,22,54,55,5923.54,985.331,21.6728,59.0282,350
2024,7,4,22,59,56,5923.54,985.405,21.6621,59.2132,349
